id,intakereason,animalname,breedname,basecolour,speciesname,animalage,sexname,movementtype,intakedate,movementdate,Time take to move out
47539,Abandoned,Zack Attack,DSH/Unknown,Grey and White,Cat,4 years 9 months.,Male,Adoption,,,
47540,Abandoned,Buggs,DSH/Unknown,Black,Cat,1 year 11 months.,Male,Adoption,,,
47558,Abandoned,Clyde,"Golden Retriever/Poodle, Standard",Golden,Dog,6 years 2 months.,Male,Adoption,16/Feb/17,2/Sep/17,198.00
47558,Abandoned,Clyde,"Golden Retriever/Poodle, Standard",Golden,Dog,6 years 2 months.,Male,Adoption,27/Feb/17,8/Apr/17,40.00
47562,Abandoned,Garden,DSH/Unknown,White,Cat,6 years 8 months.,Male,Adoption,,,
47575,Moving,Bella Boo!,Mastiff,Brindle,Dog,4 years 4 months.,Female,Foster,27/Feb/17,1/Jun/17,94.00
47575,Moving,Bella Boo!,Mastiff,Brindle,Dog,4 years 4 months.,Female,Adoption,4/Mar/17,3/Apr/17,30.00
47575,Moving,Bella Boo!,Mastiff,Brindle,Dog,4 years 4 months.,Female,Foster,6/Mar/17,29/Mar/17,23.00
47575,Moving,Bella Boo!,Mastiff,Brindle,Dog,4 years 4 months.,Female,Adoption,6/Mar/17,12/Apr/17,37.00
47575,Moving,Bella Boo!,Mastiff,Brindle,Dog,4 years 4 months.,Female,Adoption,7/Mar/17,10/Mar/17,3.00
47575,Moving,Bella Boo!,Mastiff,Brindle,Dog,4 years 4 months.,Female,Adoption,7/Mar/17,15/Apr/17,39.00
47576,Abandoned,Patty,Pitbull,Tan,Dog,3 years 5 months.,Female,Adoption,7/Mar/17,12/May/17,66.00
47582,Abandoned,Dibs,Pitbull/Mix,White,Dog,2 years 10 months.,Male,Adoption,7/Mar/17,16/May/17,70.00
47591,Abandoned,Serafina,Papillon,White,Dog,6 years 9 months.,Female,Foster,7/Mar/17,30/Dec/17,298.00
47591,Abandoned,Serafina,Papillon,White,Dog,6 years 9 months.,Female,Adoption,7/Mar/17,15/Oct/18,587.00
47595,Owner Deceased,Zips,Domestic Short Hair,Black and White,Cat,8 years 8 months.,Female,Adoption,,,
47613,Abandoned,Waylon,Beagle,Tricolour,Dog,4 years 8 months.,Male,Adoption,7/Mar/17,5/Jun/17,90.00
47613,Abandoned,Waylon,Beagle,Tricolour,Dog,4 years 8 months.,Male,Reclaimed,,,
47613,Abandoned,Waylon,Beagle,Tricolour,Dog,4 years 8 months.,Male,Adoption,7/Mar/17,25/Apr/17,49.00
47617,Abandoned,Jesse,DSH/Unknown,Grey and White,Cat,5 years 8 months.,Female,Adoption,,,
47627,Abandoned,Binks,DSH/Unknown,Buff,Cat,1 year 9 months.,Male,Foster,,,
47627,Abandoned,Binks,DSH/Unknown,Buff,Cat,1 year 9 months.,Male,Adoption,,,
47628,Abandoned,Bobbin,DSH/Unknown,Fawn,Cat,1 year 9 months.,Male,Foster,,,
47628,Abandoned,Bobbin,DSH/Unknown,Fawn,Cat,1 year 9 months.,Male,Adoption,,,
47629,Abandoned,Binkie,DSH/Unknown,Buff,Cat,1 year 9 months.,Male,Foster,,,
47629,Abandoned,Binkie,DSH/Unknown,Buff,Cat,1 year 9 months.,Male,Adoption,,,
47630,Abandoned,Stan,DSH/Unknown,Orange,Cat,1 year 9 months.,Male,Foster,,,
47630,Abandoned,Stan,DSH/Unknown,Orange,Cat,1 year 9 months.,Male,Foster,,,
47630,Abandoned,Stan,DSH/Unknown,Orange,Cat,1 year 9 months.,Male,Foster,,,
47630,Abandoned,Stan,DSH/Unknown,Orange,Cat,1 year 9 months.,Male,Adoption,,,
47631,Abandoned,Boomer,DLH/Unknown,Orange,Cat,1 year 9 months.,Male,Foster,,,
47631,Abandoned,Boomer,DLH/Unknown,Orange,Cat,1 year 9 months.,Male,Foster,,,
47631,Abandoned,Boomer,DLH/Unknown,Orange,Cat,1 year 9 months.,Male,Adoption,,,
47632,Abandoned,Evan,DSH/Unknown,Brown,Cat,1 year 9 months.,Male,Foster,,,
47632,Abandoned,Evan,DSH/Unknown,Brown,Cat,1 year 9 months.,Male,Foster,,,
47632,Abandoned,Evan,DSH/Unknown,Brown,Cat,1 year 9 months.,Male,Adoption,,,
47633,Abandoned,Beaux,DSH/Unknown,Brown and Black,Cat,1 year 9 months.,Female,Foster,,,
47633,Abandoned,Beaux,DSH/Unknown,Brown and Black,Cat,1 year 9 months.,Female,Adoption,,,
47634,Abandoned,Dusty,Domestic Short Hair,Seal,Cat,1 year 8 months.,Female,Foster,,,
47634,Abandoned,Dusty,Domestic Short Hair,Seal,Cat,1 year 8 months.,Female,Adoption,,,
47635,Abandoned,Ed,Domestic Short Hair,Black and White,Cat,1 year 8 months.,Male,Foster,,,
47635,Abandoned,Ed,Domestic Short Hair,Black and White,Cat,1 year 8 months.,Male,Adoption,,,
47636,Abandoned,Tux,Domestic Short Hair,Black and White,Cat,1 year 8 months.,Male,Foster,,,
47636,Abandoned,Tux,Domestic Short Hair,Black and White,Cat,1 year 8 months.,Male,Adoption,,,
47637,Abandoned,Trouble,Domestic Short Hair,White,Cat,1 year 8 months.,Male,Foster,,,
47637,Abandoned,Trouble,Domestic Short Hair,White,Cat,1 year 8 months.,Male,Adoption,,,
47638,Abandoned,Samantha,Domestic Short Hair,Black and White,Cat,4 years 8 months.,Female,Foster,,,
47638,Abandoned,Samantha,Domestic Short Hair,Black and White,Cat,4 years 8 months.,Female,Adoption,,,
47639,Abandoned,Apollo,Labrador Retriever/Collie,Black,Dog,3 years 0 months.,Male,Adoption,9/Mar/17,16/Mar/17,7.00
47639,Abandoned,Apollo,Labrador Retriever/Collie,Black,Dog,3 years 0 months.,Male,Adoption,9/Mar/17,22/May/17,74.00
47639,Abandoned,Apollo,Labrador Retriever/Collie,Black,Dog,3 years 0 months.,Male,Adoption,10/Mar/17,2/Apr/17,23.00
47639,Abandoned,Apollo,Labrador Retriever/Collie,Black,Dog,3 years 0 months.,Male,Foster,10/Mar/17,5/Sep/17,179.00
47639,Abandoned,Apollo,Labrador Retriever/Collie,Black,Dog,3 years 0 months.,Male,Adoption,10/Mar/17,6/Sep/17,180.00
47654,Abandoned,Hops,American Sable/American,Black,House Rabbit,2 years 8 months.,Female,Adoption,,,
47659,Abandoned,Earl,Domestic Medium Hair,White,Cat,2 years 4 months.,Male,Adoption,,,
47661,Abandoned,Conner,Domestic Short Hair,Black,Cat,3 years 8 months.,Male,Adoption,,,
47662,Abandoned,Carol,Shep Mix/Great Dane,Black and Brown,Dog,6 years 11 months.,Female,Adoption,11/Mar/17,31/Mar/17,20.00
47665,Abandoned,Jynx,Bully Breed Mix/Mix,Black,Dog,5 years 4 months.,Female,Adoption,11/Mar/17,2/Apr/17,22.00
47665,Abandoned,Jynx,Bully Breed Mix/Mix,Black,Dog,5 years 4 months.,Female,Adoption,11/Mar/17,22/Mar/19,741.00
47681,Abandoned,Sisqo`,Siberian Husky/Affenpinscher,Black and White,Dog,3 years 11 months.,Male,Transfer,11/Mar/17,15/May/19,795.00
47683,Abandoned,Larry,Hound/German Shorthaired Pointer,Red,Dog,3 years 1 month.,Male,Adoption,11/Mar/17,12/Jun/19,823.00
47684,Abandoned,Gabby (Sage),Domestic Short Hair,Grey,Cat,16 years 8 months.,Female,Foster,,,
47684,Abandoned,Gabby (Sage),Domestic Short Hair,Grey,Cat,16 years 8 months.,Female,Foster,,,
47684,Abandoned,Gabby (Sage),Domestic Short Hair,Grey,Cat,16 years 8 months.,Female,Adoption,,,
47685,Abandoned,Suzette,Domestic Short Hair,Tortie,Cat,18 years 2 months.,Female,Adoption,,,
47685,Abandoned,Suzette,Domestic Short Hair,Tortie,Cat,18 years 2 months.,Female,Transfer,,,
47688,Abandoned,Beyonce,Domestic Short Hair,Grey and White,Cat,2 years 10 months.,Female,Foster,,,
